dataset,task,thermometer_type,thermometer_size,address_size,accuracy,f1_macro,f1_weighted,auc_roc,train_time_s,infer_latency_us,memory_kb
Modbus,binary,Gaussian,32,4,0.595049292756108,0.5937831463565371,0.5945899805305439,,6.42305,4357.2099,378.01
Modbus,binary,Gaussian,32,8,0.6223746249464209,0.6214061059520554,0.6220873523633464,,4.64889,1734.2711,366.82
Modbus,binary,Gaussian,32,16,0.6797042434633519,0.6784750596504721,0.6791823196606559,,3.03341,659.3866,416.19
Modbus,multiclass,Distributive,8,4,0.47331761680240036,0.1958689760257111,0.39560112657097396,,2.10299,4819.5824,261.52
Modbus,multiclass,Distributive,8,8,0.3979854264894985,0.18546969231994925,0.36043615623388026,,1.55402,3545.7998,231.61
Modbus,multiclass,Distributive,8,16,0.4365623660522932,0.2021857214249568,0.38021328834124335,,0.98072,1627.7485,168.98
Modbus,multiclass,Distributive,16,4,0.48467638234033433,0.21856860028956723,0.41459655125680045,,4.48331,5249.8107,491.56
Modbus,multiclass,Distributive,16,8,0.4593870552936134,0.21532852235508385,0.40455360350349423,,1.9818,2214.5582,443.34
Modbus,multiclass,Distributive,16,16,0.5090012858979854,0.2850590955390751,0.467663445678899,,1.23272,1367.2069,371.95
Modbus,multiclass,Distributive,32,4,0.5004286326618088,0.2512396701116089,0.44337527068190846,,6.63446,7549.8097,957.91
Modbus,multiclass,Distributive,32,8,0.5596870981568796,0.34735372498067285,0.5226573915340256,,4.1846,2754.6829,828.56
Modbus,multiclass,Distributive,32,16,0.6773467638234033,0.5500040084467218,0.6611182706529033,,2.94606,1629.7805,772.45
Modbus,multiclass,Gaussian,8,4,0.46881697385340765,0.19165579622754425,0.38942900130818664,,1.45708,3309.4668,257.59
Modbus,multiclass,Gaussian,8,8,0.4290612944706387,0.18085878146219928,0.3695336372458849,,1.12408,2523.3713,228.01
Modbus,multiclass,Gaussian,8,16,0.43741963137591083,0.20862001447945944,0.3943310693455424,,1.18365,1781.8922,170.97
Modbus,multiclass,Gaussian,16,4,0.48949849978568366,0.21621377951521178,0.41677905260518133,,3.58848,7242.862,479.35
Modbus,multiclass,Gaussian,16,8,0.4739605657951136,0.23621571510411155,0.4264417432545851,,2.58394,2910.0992,422.28
Modbus,multiclass,Gaussian,16,16,0.503643377625375,0.3069695142727506,0.4798405892871752,,2.01791,2181.4824,372.16
Modbus,multiclass,Gaussian,32,4,0.5064294899271324,0.2618570777925283,0.44947143669901574,,8.79013,10449.2223,926.1
Modbus,multiclass,Gaussian,32,8,0.5388984140591513,0.34125402048580566,0.4960144203341868,,8.37496,5230.1861,789.61
Modbus,multiclass,Gaussian,32,16,0.6411273039005573,0.4912660931746035,0.617686134101625,,5.29851,2519.5586,741.36
Thermostat,binary,Distributive,8,4,0.5422556696837181,0.3622508424737282,0.39095375615403477,,0.04519,36.6987,4.92
Thermostat,binary,Distributive,8,8,0.5422556696837181,0.3622508424737282,0.39095375615403477,,0.04514,18.4939,4.53
Thermostat,binary,Distributive,16,4,0.5393064171666836,0.37094635358235917,0.3985154381048168,,0.11892,163.0785,13.13
Thermostat,binary,Distributive,16,8,0.5393064171666836,0.37094635358235917,0.3985154381048168,,0.10974,68.6633,11.26
Thermostat,binary,Distributive,16,16,0.5393064171666836,0.37094635358235917,0.3985154381048168,,0.11829,39.2267,11.27
Thermostat,binary,Distributive,32,4,0.5413403844198108,0.37027258879379393,0.3980773641609105,,0.41936,659.3317,40.64
Thermostat,binary,Distributive,32,8,0.5413403844198108,0.37027258879379393,0.3980773641609105,,0.33677,300.4063,32.37
Thermostat,binary,Distributive,32,16,0.5412386860571545,0.3725920932876943,0.400148509877918,,0.30612,150.6866,30.32
Thermostat,binary,Gaussian,8,4,0.541950574595749,0.3720234952129655,0.39969685926494175,,0.04494,35.8056,4.91
Thermostat,binary,Gaussian,8,8,0.541950574595749,0.3720234952129655,0.39969685926494175,,0.04394,19.5997,4.53
Thermostat,binary,Gaussian,16,4,0.5388996237160582,0.3721914173944636,0.3995977595823239,,0.11892,166.2471,12.78
Thermostat,binary,Gaussian,16,8,0.5381877351774637,0.3743363534323667,0.4014603997347645,,0.10863,74.1954,10.94
Thermostat,binary,Gaussian,16,16,0.5388996237160582,0.3721914173944636,0.3995977595823239,,0.10918,40.8783,10.97
Thermostat,binary,Gaussian,32,4,0.5406284958812163,0.37030228428928075,0.3980460727632898,,0.39473,732.5904,39.42
Thermostat,binary,Gaussian,32,8,0.5406284958812163,0.37030228428928075,0.3980460727632898,,0.31624,312.2826,31.38
Thermostat,binary,Gaussian,32,16,0.5406284958812163,0.37030228428928075,0.3980460727632898,,0.2948,142.7152,29.38
Thermostat,multiclass,Distributive,8,4,0.4577443303162819,0.08971675736012279,0.28747135911170435,,0.06837,375.7545,15.47
Thermostat,multiclass,Distributive,8,8,0.4577443303162819,0.08971675736012279,0.28747135911170435,,0.04975,175.9513,14.21
Thermostat,multiclass,Distributive,16,4,0.4577443303162819,0.08971675736012279,0.28747135911170435,,0.12821,1299.5529,40.55
Thermostat,multiclass,Distributive,16,8,0.4577443303162819,0.08971675736012279,0.28747135911170435,,0.11672,690.0673,34.64
Thermostat,multiclass,Distributive,16,16,0.4577443303162819,0.08971675736012279,0.28747135911170435,,0.11125,351.982,34.75
Thermostat,multiclass,Distributive,32,4,0.4577443303162819,0.08971675736012279,0.28747135911170435,,0.48609,3862.4775,120.05
Thermostat,multiclass,Distributive,32,8,0.4577443303162819,0.08971675736012279,0.28747135911170435,,0.35187,2021.8487,95.46
Thermostat,multiclass,Distributive,32,16,0.4577443303162819,0.08971675736012279,0.28747135911170435,,0.30301,1175.3012,89.26
Thermostat,multiclass,Gaussian,8,4,0.4577443303162819,0.08971675736012279,0.28747135911170435,,0.04821,371.9429,15.59
Thermostat,multiclass,Gaussian,8,8,0.4577443303162819,0.08971675736012279,0.28747135911170435,,0.0475,179.6831,14.32
Thermostat,multiclass,Gaussian,16,4,0.4577443303162819,0.08971675736012279,0.28747135911170435,,0.12498,1225.1888,39.08
Thermostat,multiclass,Gaussian,16,8,0.4577443303162819,0.08971675736012279,0.28747135911170435,,0.1132,632.5327,33.37
Thermostat,multiclass,Gaussian,16,16,0.4577443303162819,0.08971675736012279,0.28747135911170435,,0.10647,318.3807,33.44
Thermostat,multiclass,Gaussian,32,4,0.4577443303162819,0.08971675736012279,0.28747135911170435,,0.45343,3706.8107,116.61
Thermostat,multiclass,Gaussian,32,8,0.4577443303162819,0.08971675736012279,0.28747135911170435,,0.34117,1954.197,92.7
Thermostat,multiclass,Gaussian,32,16,0.4577443303162819,0.08971675736012279,0.28747135911170435,,0.28754,1109.1493,86.68
Weather,binary,Distributive,8,4,0.824603107224722,0.8099081156691352,0.8223775451448528,,13.73542,701.2862,57.94
Weather,binary,Distributive,8,8,0.7903047796926734,0.767086491909466,0.784436215423726,,0.5868,309.6568,47.26
Weather,binary,Distributive,8,16,0.79633245606588,0.7832483959738928,0.7958125296973317,,0.51499,147.9048,44.03
Weather,binary,Distributive,16,4,0.8484591221665676,0.836497232049537,0.8469310338810586,,1.34465,845.1274,116.85
Weather,binary,Distributive,16,8,0.8571186008999067,0.8463227057154091,0.8559325047921928,,1.06222,387.8992,104.14
Weather,binary,Distributive,16,16,0.8248577977757026,0.8131879940532469,0.8242037496730513,,0.77849,254.9788,105.91
Weather,binary,Distributive,32,4,0.857458188301214,0.8458837869579703,0.8558482421416364,,2.95817,1475.5951,226.38
Weather,binary,Distributive,32,8,0.8683249851430512,0.8583758268357692,0.8672319161810403,,1.84387,439.1003,193.08
Weather,binary,Distributive,32,16,0.8730792087613549,0.8624807647390522,0.8714878216008195,,1.21472,240.6545,207.64
Weather,binary,Gaussian,8,4,0.8301214024959674,0.8165845051705094,0.8283404544415868,,0.62902,755.9689,54.48
Weather,binary,Gaussian,8,8,0.8220562017149163,0.8060584876599362,0.8191999737252008,,0.44774,268.8193,44.29
Weather,binary,Gaussian,8,16,0.7844468970201206,0.7603081317867634,0.7782539928310384,,0.42403,139.0279,41.28
Weather,binary,Gaussian,16,4,0.8274047032855081,0.8107530295237027,0.8239971627189109,,1.27032,1028.2268,110.29
Weather,binary,Gaussian,16,8,0.8254520757279905,0.8088120794874107,0.8221192879917478,,0.88374,393.8214,94.9
Weather,binary,Gaussian,16,16,0.7901349859920197,0.7672019591894377,0.7844404989471806,,0.66766,334.8359,88.94
Weather,binary,Gaussian,32,4,0.8449783513031667,0.8306061883353542,0.8422471795587733,,5.73429,3564.3415,211.55
Weather,binary,Gaussian,32,8,0.8576279820018677,0.8449680113905059,0.8554201974656618,,3.46326,1211.8054,175.46
Weather,binary,Gaussian,32,16,0.8466762883097038,0.8321699477387707,0.843811045182208,,1.84339,324.7795,177.62
Weather,multiclass,Distributive,8,4,0.7159351388063503,0.6685561139884422,0.7100769491972534,,1.02555,3628.0621,168.24
Weather,multiclass,Distributive,8,8,0.7144918923507938,0.6695901887753258,0.7094684300959402,,1.54774,3657.6986,129.01
Weather,multiclass,Distributive,8,16,0.6912301553612361,0.6340711247470774,0.6789854807762742,,1.35504,2665.7077,127.25
Weather,multiclass,Distributive,16,4,0.7655997962475592,0.7265699404293653,0.7579257042702495,,6.4059,7763.1982,359.3
Weather,multiclass,Distributive,16,8,0.7880125647338484,0.7544757694605166,0.7831959244991927,,1.49593,1668.6025,279.46
Weather,multiclass,Distributive,16,16,0.7522709907462433,0.7261721299197903,0.7457182680010039,,2.12003,2815.1626,241.28
Weather,multiclass,Distributive,32,4,0.8043127599966041,0.7681391939650473,0.7980583547254821,,12.44515,7643.7694,717.81
Weather,multiclass,Distributive,32,8,0.8154342473894218,0.7916404572987719,0.811696458437426,,3.6973,3795.4995,547.9
Weather,multiclass,Distributive,32,16,0.8302911961966211,0.8002145007515516,0.8265774047989581,,2.06232,1867.4514,480.42
Weather,multiclass,Gaussian,8,4,0.7289243569063588,0.6790694884993395,0.721319325492893,,1.77053,6552.5553,162.94
