dataset,task,thermometer_type,thermometer_size,address_size,hash_mode,num_hashes,filter_size,accuracy,f1_macro,f1_weighted,auc_roc,train_time_s,infer_latency_us,memory_kb
Fridge,binary,Distributive,16,16,simhash,2,64,0.5787716955941254,0.47778418988483035,0.5349657301194674,0.5038773680147277,0.08018,6.4671,0.1
Fridge,binary,Distributive,16,16,simhash,2,256,0.5712616822429907,0.48133603652058954,0.5351112122391557,0.4972822317239741,0.07767,5.8538,0.1
Fridge,binary,Distributive,16,16,simhash,2,1024,0.5790220293724967,0.47728472932956156,0.5347055924519596,0.5001212661084388,0.07401,5.6904,0.1
Fridge,binary,Distributive,16,16,simhash,4,16,0.5942089452603472,0.4564573328572866,0.5245910658940399,0.4972570075420156,0.08164,5.8291,0.1
Fridge,binary,Distributive,16,16,simhash,4,64,0.5625834445927904,0.4914500147221763,0.538808817652545,0.5013567017043767,0.07576,6.6589,0.1
Fridge,binary,Distributive,16,16,simhash,4,256,0.5931241655540721,0.45810129786045195,0.5254547310262431,0.4969203634420096,0.07442,5.8729,0.1
Fridge,binary,Distributive,16,16,simhash,4,1024,0.5882843791722296,0.4722121179533078,0.5338419449065575,0.5019673080349188,0.0744,6.0369,0.1
Fridge,binary,Distributive,16,16,simhash,8,16,0.5322930574098799,0.4920022729935015,0.5276252954226787,0.49271732288140624,0.08456,6.0882,0.1
Fridge,binary,Distributive,16,16,simhash,8,64,0.545477303070761,0.49818389995819146,0.5365431048747197,0.5022442098699448,0.09369,6.8321,0.1
Fridge,binary,Distributive,16,16,simhash,8,256,0.6040554072096128,0.4388076091714995,0.5146340630152224,0.5011205237840727,0.08362,6.5759,0.1
Fridge,binary,Distributive,16,16,simhash,8,1024,0.6123998664886515,0.43001358315359245,0.5102969095250065,0.5054991834431973,0.0751,5.9065,0.1
Fridge,binary,Distributive,16,16,h3,2,16,0.5209445927903872,0.5004913144079617,0.5256593897453463,0.501662153334521,0.01719,1.7004,0.1
Fridge,binary,Distributive,16,16,h3,2,64,0.5892857142857143,0.46240484418910976,0.5274361936168439,0.4998138547419681,0.01784,1.64,0.1
Fridge,binary,Distributive,16,16,h3,2,256,0.5223631508678238,0.5024754517555846,0.5272437715180728,0.5038390640774393,0.01704,1.7057,0.1
Fridge,binary,Distributive,16,16,h3,2,1024,0.6059746328437917,0.42540892531443353,0.5056125679562324,0.49203797731456744,0.01728,1.7966,0.1
Fridge,binary,Distributive,16,16,h3,4,16,0.5778538050734312,0.4873627860461982,0.5409924187725663,0.5045189738107964,0.0197,1.9256,0.1
Fridge,binary,Distributive,16,16,h3,4,64,0.5459779706275033,0.4992452654714665,0.5373360582017626,0.500729333689649,0.01943,3.0209,0.1
