dataset,n_features,n_samples,a,t,scoring,fraction,random_mean,f4rm_mean,paired_delta_mean,paired_delta_ci_half,wilcoxon_p,n_paired,significance
Breast Cancer,30,569,9,8,validation,0.25,0.9353801169590645,0.9441520467836256,0.008771929824561391,0.007688935501578221,0.04707995665418557,30,n.s.
Breast Cancer,30,569,9,8,validation,0.1,0.9160818713450294,0.9187134502923978,0.0026315789473684253,0.008453007027939451,0.606002556438493,30,n.s.
Breast Cancer,30,569,9,8,validation,0.05,0.8190058479532162,0.8342105263157894,0.015204678362573106,0.02300682749502588,0.13851513842085866,30,n.s.
Breast Cancer,30,569,9,8,fisher,1.0,0.9549707602339178,0.9567251461988301,0.001754385964912275,0.00523958963203607,0.6129097109358861,30,n.s.
Breast Cancer,30,569,9,8,fisher,0.75,0.9546783625730996,0.9526315789473683,-0.002046783625730997,0.006095847329243095,0.3739255570074521,30,n.s.
Breast Cancer,30,569,9,8,fisher,0.5,0.9464912280701756,0.9476608187134501,0.0011695906432748425,0.0074980244586898784,0.7897748282382995,30,n.s.
Breast Cancer,30,569,9,8,fisher,0.25,0.9362573099415206,0.9309941520467836,-0.005263157894736836,0.009528177096523765,0.34945774683048125,30,n.s.
Breast Cancer,30,569,9,8,fisher,0.1,0.8710526315789475,0.8672514619883042,-0.003801169590643279,0.02394397919494863,0.8208658954293064,30,n.s.
Breast Cancer,30,569,9,8,fisher,0.05,0.6684210526315789,0.7005847953216375,0.03216374269005849,0.04642971296858485,0.3284687386926236,30,n.s.
Balance Scale,4,625,8,8,validation,1.0,0.6450666666666667,0.7277333333333336,0.08266666666666667,0.03286772516539429,0.00015982249818140433,30,+++
Balance Scale,4,625,8,8,validation,0.75,0.6149333333333333,0.7015999999999999,0.08666666666666666,0.03828332645479549,0.0004346217105022756,30,+++
Balance Scale,4,625,8,8,validation,0.5,0.552,0.6450666666666667,0.09306666666666669,0.04109858304164088,0.0004068501699242324,30,+++
Balance Scale,4,625,8,8,validation,0.25,0.43253333333333327,0.5157333333333334,0.0832,0.04823594204925732,0.002252089370960235,30,+++
Balance Scale,4,625,8,8,validation,0.1,0.43253333333333327,0.5157333333333334,0.0832,0.04823594204925732,0.002252089370960235,30,+++
Balance Scale,4,625,8,8,validation,0.05,0.43253333333333327,0.5157333333333334,0.0832,0.04823594204925732,0.002252089370960235,30,+++
Balance Scale,4,625,8,8,fisher,1.0,0.6450666666666667,0.7277333333333336,0.08266666666666667,0.03286772516539429,0.00015982249818140433,30,+++
Balance Scale,4,625,8,8,fisher,0.75,0.5863999999999999,0.6682666666666666,0.08186666666666668,0.04494901897778342,0.003557670315468931,30,n.s.
Balance Scale,4,625,8,8,fisher,0.5,0.4914666666666667,0.5645333333333333,0.07306666666666667,0.05030724597367598,0.01608956239575443,30,n.s.
Balance Scale,4,625,8,8,fisher,0.25,0.31146666666666667,0.41946666666666665,0.10800000000000001,0.06056878625584095,0.002178421102435989,30,+++
Balance Scale,4,625,8,8,fisher,0.1,0.31146666666666667,0.41946666666666665,0.10800000000000001,0.06056878625584095,0.002178421102435989,30,+++
Balance Scale,4,625,8,8,fisher,0.05,0.31146666666666667,0.41946666666666665,0.10800000000000001,0.06056878625584095,0.002178421102435989,30,+++
Pima Diabetes,8,768,9,8,validation,1.0,0.6978354978354978,0.6961038961038961,-0.001731601731601736,0.014021041152840889,0.8610378329911262,30,n.s.
Pima Diabetes,8,768,9,8,validation,0.75,0.6900432900432901,0.6900432900432899,-7.401486830834377e-18,0.015145411518778394,0.8088759690239451,30,n.s.
Pima Diabetes,8,768,9,8,validation,0.5,0.6883116883116884,0.6803030303030303,-0.008008658008657995,0.012868150994924702,0.1509767956437467,30,n.s.
Pima Diabetes,8,768,9,8,validation,0.25,0.6714285714285714,0.6709956709956709,-0.00043290043290043675,0.009951237941555625,0.8284892239898782,30,n.s.
Pima Diabetes,8,768,9,8,validation,0.1,0.6647186147186147,0.6627705627705629,-0.0019480519480519467,0.010483640401285028,0.8096102344686699,30,n.s.
Pima Diabetes,8,768,9,8,validation,0.05,0.6647186147186147,0.6627705627705629,-0.0019480519480519467,0.010483640401285028,0.8096102344686699,30,n.s.
Pima Diabetes,8,768,9,8,fisher,1.0,0.6978354978354978,0.6961038961038961,-0.001731601731601736,0.014021041152840889,0.8610378329911262,30,n.s.
Pima Diabetes,8,768,9,8,fisher,0.75,0.6898268398268396,0.6891774891774891,-0.0006493506493506514,0.012331247143835525,0.8710080546099723,30,n.s.
Pima Diabetes,8,768,9,8,fisher,0.5,0.6772727272727272,0.6857142857142857,0.008441558441558432,0.011991368289758471,0.11757925170911537,30,n.s.
Pima Diabetes,8,768,9,8,fisher,0.25,0.6634199134199134,0.6705627705627706,0.007142857142857132,0.009160506838185334,0.2019236910664164,30,n.s.
Pima Diabetes,8,768,9,8,fisher,0.1,0.6549783549783551,0.6582251082251083,0.003246753246753242,0.009910303531297843,0.62057927004572,30,n.s.
Pima Diabetes,8,768,9,8,fisher,0.05,0.6549783549783551,0.6582251082251083,0.003246753246753242,0.009910303531297843,0.62057927004572,30,n.s.
Vehicle,18,846,9,8,validation,1.0,0.6672549019607843,0.6796078431372549,0.012352941176470582,0.011586915421998202,0.08121131559364321,30,n.s.
Vehicle,18,846,9,8,validation,0.75,0.6572549019607845,0.6752941176470587,0.01803921568627451,0.014092788270953234,0.016728174325051273,30,n.s.
Vehicle,18,846,9,8,validation,0.5,0.6409803921568629,0.6505882352941177,0.009607843137254905,0.013489545796236247,0.12978435922571985,30,n.s.
Vehicle,18,846,9,8,validation,0.25,0.5976470588235295,0.602156862745098,0.004509803921568634,0.014891419423823134,0.7418413808127942,30,n.s.
Vehicle,18,846,9,8,validation,0.1,0.5462745098039216,0.5611764705882353,0.01490196078431372,0.017187624943713713,0.09858932954509482,30,n.s.
Vehicle,18,846,9,8,validation,0.05,0.4919607843137255,0.49941176470588233,0.00745098039215686,0.020866989355120578,0.33866450681177596,30,n.s.
Vehicle,18,846,9,8,fisher,1.0,0.6672549019607843,0.6796078431372549,0.012352941176470582,0.011586915421998202,0.08121131559364321,30,n.s.
Vehicle,18,846,9,8,fisher,0.75,0.6494117647058826,0.6686274509803923,0.019215686274509813,0.013243209392859955,0.004797511501073444,30,n.s.
Vehicle,18,846,9,8,fisher,0.5,0.6113725490196079,0.636078431372549,0.024705882352941168,0.013791049379727199,0.003474573718738171,30,n.s.
Vehicle,18,846,9,8,fisher,0.25,0.5480392156862745,0.5654901960784315,0.01745098039215687,0.016177893780490643,0.049413781824546324,30,n.s.
Vehicle,18,846,9,8,fisher,0.1,0.44745098039215686,0.4750980392156862,0.02764705882352942,0.028328415631023594,0.06923550246612373,30,n.s.
Vehicle,18,846,9,8,fisher,0.05,0.36000000000000015,0.3911764705882354,0.031176470588235302,0.027778328673427333,0.012799646807736384,30,n.s.
Banknote,4,1372,8,8,validation,1.0,0.9272727272727272,0.9509090909090909,0.023636363636363636,0.015814779345568696,0.007247915006921027,30,n.s.
Banknote,4,1372,8,8,validation,0.75,0.9118787878787878,0.9322424242424243,0.020363636363636372,0.016536176676909306,0.02916680465272441,30,n.s.
Banknote,4,1372,8,8,validation,0.5,0.8654545454545456,0.8883636363636362,0.022909090909090917,0.021902913867101532,0.09143184320502977,30,n.s.
Banknote,4,1372,8,8,validation,0.25,0.774060606060606,0.8116363636363638,0.037575757575757575,0.024586112621816262,0.0079572777875009,30,n.s.
Banknote,4,1372,8,8,validation,0.1,0.774060606060606,0.8116363636363638,0.037575757575757575,0.024586112621816262,0.0079572777875009,30,n.s.
Banknote,4,1372,8,8,validation,0.05,0.774060606060606,0.8116363636363638,0.037575757575757575,0.024586112621816262,0.0079572777875009,30,n.s.
Banknote,4,1372,8,8,fisher,1.0,0.9272727272727272,0.9509090909090909,0.023636363636363636,0.015814779345568696,0.007247915006921027,30,n.s.
Banknote,4,1372,8,8,fisher,0.75,0.8892121212121211,0.9134545454545454,0.024242424242424242,0.022531505937773994,0.04781762632640686,30,n.s.
Banknote,4,1372,8,8,fisher,0.5,0.8212121212121214,0.8489696969696968,0.027757575757575755,0.03278702766053139,0.15036678863022,30,n.s.
Banknote,4,1372,8,8,fisher,0.25,0.7146666666666666,0.756848484848485,0.042181818181818174,0.042942944178927,0.08215788322669769,30,n.s.
