system,dataset,mem_band,best_acc_in_band,hp_id_at_best,n_seeds
CatBoost,Seeds,10-100KB,0.9365079365079364,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
CatBoost,Seeds,100KB-1MB,0.9444444444444443,"{""depth"": 4, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
CatBoost,Seeds,>1MB,0.9523809523809524,"{""depth"": 8, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
CatBoost,Segment,100KB-1MB,0.9797979797979798,"{""depth"": 4, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
CatBoost,Segment,>1MB,0.9812409812409811,"{""depth"": 8, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
CatBoost,Steel Plates,10-100KB,1.0,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
CatBoost,Steel Plates,100KB-1MB,1.0,"{""depth"": 4, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
CatBoost,Vehicle,10-100KB,0.7411764705882353,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
CatBoost,Vehicle,100KB-1MB,0.7647058823529411,"{""depth"": 4, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
CatBoost,Vehicle,>1MB,0.7647058823529411,"{""depth"": 8, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
CatBoost,Waveform,10-100KB,0.8556666666666667,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
CatBoost,Waveform,100KB-1MB,0.8613333333333334,"{""depth"": 4, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
CatBoost,Waveform,>1MB,0.86,"{""depth"": 8, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
CatBoost,Wine,10-100KB,0.9907407407407408,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
CatBoost,Wine,100KB-1MB,0.9907407407407408,"{""depth"": 4, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
CatBoost,Wine,>1MB,0.9907407407407408,"{""depth"": 8, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
CatBoost,Yeast,100KB-1MB,0.6464646464646465,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
CatBoost,Yeast,>1MB,0.6307519640852974,"{""depth"": 8, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",3
DT,Balance Scale,1-10KB,0.7792,"{""ccp_alpha"": 0.0, ""criterion"": ""gini"", ""max_depth"": 4, ""min_samples_leaf"": 1, ""min_samples_split"": 10}",5
DT,Balance Scale,10-100KB,0.7632,"{""ccp_alpha"": 0.0, ""criterion"": ""gini"", ""max_depth"": 16, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",5
DT,Banknote,1-10KB,0.9854545454545454,"{""ccp_alpha"": 0.0, ""criterion"": ""entropy"", ""max_depth"": 16, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",5
DT,Breast Cancer,1-10KB,0.9438596491228071,"{""ccp_alpha"": 0.0, ""criterion"": ""gini"", ""max_depth"": 4, ""min_samples_leaf"": 5, ""min_samples_split"": 10}",5
DT,EEG Eye State,1-10KB,0.7654873164218958,"{""ccp_alpha"": 0.001, ""criterion"": ""gini"", ""max_depth"": 8, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",5
DT,EEG Eye State,10-100KB,0.8195594125500667,"{""ccp_alpha"": 0.0, ""criterion"": ""entropy"", ""max_depth"": 32, ""min_samples_leaf"": 5, ""min_samples_split"": 50}",5
DT,EEG Eye State,100KB-1MB,0.8411882510013351,"{""ccp_alpha"": 0.0, ""criterion"": ""entropy"", ""max_depth"": 32, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",5
DT,Ecoli,1-10KB,0.8352941176470589,"{""ccp_alpha"": 0.0, ""criterion"": ""gini"", ""max_depth"": 16, ""min_samples_leaf"": 5, ""min_samples_split"": 10}",5
DT,Ecoli,10-100KB,0.8205882352941176,"{""ccp_alpha"": 0.0, ""criterion"": ""gini"", ""max_depth"": 16, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",5
