system,dataset,criterion,hp_id,mean_acc,mean_mem_bytes,mean_train_s,mean_infer_us_per_sample,n_seeds_aggregated
BTHOWeN,australian,best_mem_at_iso_acc,"{""addressSize"": 12, ""bitsPerInput"": 9, ""numBits"": 512, ""numHashes"": 2}",0.8521739130434783,1408.0,0.009338416811078786,4.057847874482041,10
BTHOWeN,australian,best_acc_per_log_mem,"{""addressSize"": 6, ""bitsPerInput"": 3, ""numBits"": 128, ""numHashes"": 2}",0.8434782608695652,224.0,0.006625383417122066,2.43894941429945,10
BTHOWeN,australian,best_acc_at_small_budget,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 512, ""numHashes"": 2}",0.8565217391304347,2688.0,0.013649158226326109,5.055797131111225,10
BTHOWeN,australian,best_acc_at_medium_budget,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 512, ""numHashes"": 2}",0.8565217391304347,2688.0,0.013649158226326109,5.055797131111225,10
BTHOWeN,blood-transfusion,best_acc,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 512, ""numHashes"": 2}",0.7746666666666666,768.0,0.0065862915711477395,1.9365001159409683,5
BTHOWeN,blood-transfusion,best_mem_at_iso_acc,"{""addressSize"": 6, ""bitsPerInput"": 3, ""numBits"": 128, ""numHashes"": 4}",0.7706666666666667,64.0,0.0045549585716798905,1.296057365834713,5
BTHOWeN,blood-transfusion,best_acc_per_log_mem,"{""addressSize"": 28, ""bitsPerInput"": 3, ""numBits"": 128, ""numHashes"": 4}",0.7666666666666667,32.0,0.0041434417711570855,1.2233895249664783,5
BTHOWeN,blood-transfusion,best_acc_at_small_budget,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 512, ""numHashes"": 2}",0.7746666666666666,768.0,0.0065862915711477395,1.9365001159409683,5
BTHOWeN,blood-transfusion,best_acc_at_medium_budget,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 512, ""numHashes"": 2}",0.7746666666666666,768.0,0.0065862915711477395,1.9365001159409683,5
BTHOWeN,christine,best_acc,"{""addressSize"": 12, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 4}",0.6750922509225092,628224.0,9.135640783584677,607.5147064480024,10
BTHOWeN,christine,best_mem_at_iso_acc,"{""addressSize"": 12, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 2}",0.6739852398523986,628224.0,7.71775378359016,496.20731106557196,10
BTHOWeN,christine,best_acc_per_log_mem,"{""addressSize"": 12, ""bitsPerInput"": 3, ""numBits"": 128, ""numHashes"": 4}",0.6549815498154982,13088.0,2.5684696833835914,163.17243229879608,10
BTHOWeN,christine,best_acc_at_small_budget,"{""addressSize"": 20, ""bitsPerInput"": 3, ""numBits"": 128, ""numHashes"": 4}",0.546309963099631,7872.0,1.9463784579886123,141.38277987365325,5
BTHOWeN,christine,best_acc_at_medium_budget,"{""addressSize"": 12, ""bitsPerInput"": 9, ""numBits"": 128, ""numHashes"": 4}",0.6654981549815498,39264.0,6.89172022480052,427.8957487016957,10
BTHOWeN,higgs-small,best_acc,"{""addressSize"": 6, ""bitsPerInput"": 3, ""numBits"": 2048, ""numHashes"": 4}",0.5567975522692504,7168.0,0.262951916619204,4.008993289629562,5
BTHOWeN,higgs-small,best_mem_at_iso_acc,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 128, ""numHashes"": 2}",0.5564813870474248,1344.0,0.486792483413592,8.11384285433044,5
BTHOWeN,higgs-small,best_acc_per_log_mem,"{""addressSize"": 28, ""bitsPerInput"": 3, ""numBits"": 128, ""numHashes"": 2}",0.5278735339112698,96.0,0.17242567481007426,2.765135142870517,5
BTHOWeN,higgs-small,best_acc_at_small_budget,"{""addressSize"": 6, ""bitsPerInput"": 3, ""numBits"": 2048, ""numHashes"": 4}",0.5567975522692504,7168.0,0.262951916619204,4.008993289629562,5
BTHOWeN,higgs-small,best_acc_at_medium_budget,"{""addressSize"": 6, ""bitsPerInput"": 3, ""numBits"": 2048, ""numHashes"": 4}",0.5567975522692504,7168.0,0.262951916619204,4.008993289629562,5
BTHOWeN,jasmine,best_acc,"{""addressSize"": 12, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 4}",0.7701842546063652,55296.0,0.33302509197965263,31.708305782733653,5
BTHOWeN,jasmine,best_mem_at_iso_acc,"{""addressSize"": 20, ""bitsPerInput"": 9, ""numBits"": 128, ""numHashes"": 4}",0.7661641541038525,2080.0,0.23491553363855927,26.54429082095723,5
BTHOWeN,jasmine,best_acc_per_log_mem,"{""addressSize"": 28, ""bitsPerInput"": 3, ""numBits"": 128, ""numHashes"": 2}",0.7303182579564489,512.0,0.07449318319559098,7.966150049201308,5
BTHOWeN,jasmine,best_acc_at_small_budget,"{""addressSize"": 6, ""bitsPerInput"": 3, ""numBits"": 512, ""numHashes"": 2}",0.7695142378559464,9216.0,0.21951248317491262,15.421789272109567,5
BTHOWeN,jasmine,best_acc_at_medium_budget,"{""addressSize"": 12, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 4}",0.7701842546063652,55296.0,0.33302509197965263,31.708305782733653,5
BTHOWeN,miniboone,best_acc,"{""addressSize"": 20, ""bitsPerInput"": 9, ""numBits"": 512, ""numHashes"": 2}",0.8392957367470111,2944.0,0.463604875234887,6.61303675021222,10
BTHOWeN,miniboone,best_mem_at_iso_acc,"{""addressSize"": 20, ""bitsPerInput"": 9, ""numBits"": 128, ""numHashes"": 4}",0.8350824587706146,736.0,0.48737250820267947,7.383363134786673,10
BTHOWeN,miniboone,best_acc_per_log_mem,"{""addressSize"": 28, ""bitsPerInput"": 3, ""numBits"": 128, ""numHashes"": 2}",0.7720139930034982,192.0,0.2841858833562583,3.2934981204200717,10
BTHOWeN,miniboone,best_acc_at_small_budget,"{""addressSize"": 20, ""bitsPerInput"": 9, ""numBits"": 512, ""numHashes"": 2}",0.8392957367470111,2944.0,0.463604875234887,6.61303675021222,10
BTHOWeN,miniboone,best_acc_at_medium_budget,"{""addressSize"": 20, ""bitsPerInput"": 9, ""numBits"": 512, ""numHashes"": 2}",0.8392957367470111,2944.0,0.463604875234887,6.61303675021222,10
BTHOWeN,nomao,best_acc,"{""addressSize"": 20, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 4}",0.9426954881764109,27648.0,0.6834288999903947,25.476755399511497,10
BTHOWeN,nomao,best_mem_at_iso_acc,"{""addressSize"": 28, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 2}",0.9402292180472944,19456.0,0.4989739751908928,16.75640379794641,10
BTHOWeN,nomao,best_acc_per_log_mem,"{""addressSize"": 20, ""bitsPerInput"": 3, ""numBits"": 128, ""numHashes"": 2}",0.8833599303641375,576.0,0.30687863344792277,7.571096308572612,10
BTHOWeN,nomao,best_acc_at_small_budget,"{""addressSize"": 28, ""bitsPerInput"": 3, ""numBits"": 2048, ""numHashes"": 2}",0.9321630639779487,6656.0,0.27730271660257133,6.956228551729254,10
BTHOWeN,nomao,best_acc_at_medium_budget,"{""addressSize"": 20, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 4}",0.9426954881764109,27648.0,0.6834288999903947,25.476755399511497,10
BTHOWeN,phoneme,best_acc,"{""addressSize"": 20, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 4}",0.7972247918593894,1536.0,0.044502608175389466,1.9690486887654255,10
BTHOWeN,phoneme,best_mem_at_iso_acc,"{""addressSize"": 28, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 4}",0.7927844588344126,1024.0,0.04107948341406882,1.8041089838792836,10
BTHOWeN,phoneme,best_acc_per_log_mem,"{""addressSize"": 28, ""bitsPerInput"": 3, ""numBits"": 128, ""numHashes"": 2}",0.727104532839963,32.0,0.03157593340147287,1.2667896613740566,10
BTHOWeN,phoneme,best_acc_at_small_budget,"{""addressSize"": 20, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 4}",0.7972247918593894,1536.0,0.044502608175389466,1.9690486887654255,10
BTHOWeN,phoneme,best_acc_at_medium_budget,"{""addressSize"": 20, ""bitsPerInput"": 9, ""numBits"": 2048, ""numHashes"": 4}",0.7972247918593894,1536.0,0.044502608175389466,1.9690486887654255,10
BTHOWeN,skin-segmentation,best_acc,"{""addressSize"": 12, ""bitsPerInput"": 9, ""numBits"": 128, ""numHashes"": 4}",0.9805965885905493,96.0,0.11890989160165191,1.5759414389611233,5
BTHOWeN,skin-segmentation,best_mem_at_iso_acc,"{""addressSize"": 12, ""bitsPerInput"": 9, ""numBits"": 128, ""numHashes"": 4}",0.9805965885905493,96.0,0.11890989160165191,1.5759414389611233,5
BTHOWeN,skin-segmentation,best_acc_per_log_mem,"{""addressSize"": 12, ""bitsPerInput"": 3, ""numBits"": 128, ""numHashes"": 4}",0.941455153839876,32.0,0.09861569995991885,1.1364757648093728,5
BTHOWeN,skin-segmentation,best_acc_at_small_budget,"{""addressSize"": 12, ""bitsPerInput"": 9, ""numBits"": 128, ""numHashes"": 4}",0.9805965885905493,96.0,0.11890989160165191,1.5759414389611233,5
BTHOWeN,skin-segmentation,best_acc_at_medium_budget,"{""addressSize"": 12, ""bitsPerInput"": 9, ""numBits"": 128, ""numHashes"": 4}",0.9805965885905493,96.0,0.11890989160165191,1.5759414389611233,5
BTHOWeN,sylvine,best_acc,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 512, ""numHashes"": 2}",0.8364878048780489,3840.0,0.15606205814983695,6.322569168377213,5
BTHOWeN,sylvine,best_mem_at_iso_acc,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 512, ""numHashes"": 2}",0.8364878048780489,3840.0,0.15606205814983695,6.322569168377213,5
BTHOWeN,sylvine,best_acc_per_log_mem,"{""addressSize"": 6, ""bitsPerInput"": 3, ""numBits"": 128, ""numHashes"": 4}",0.7414634146341463,320.0,0.07208278321195394,3.0414144304103967,5
BTHOWeN,sylvine,best_acc_at_small_budget,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 512, ""numHashes"": 2}",0.8364878048780489,3840.0,0.15606205814983695,6.322569168377213,5
BTHOWeN,sylvine,best_acc_at_medium_budget,"{""addressSize"": 6, ""bitsPerInput"": 9, ""numBits"": 512, ""numHashes"": 2}",0.8364878048780489,3840.0,0.15606205814983695,6.322569168377213,5
CatBoost,Balance Scale,best_acc,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",0.9173333333333334,64560.0,0.01202884727778534,2.149000143011411,3
CatBoost,Balance Scale,best_mem_at_iso_acc,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",0.9173333333333334,64560.0,0.01202884727778534,2.149000143011411,3
CatBoost,Balance Scale,best_acc_per_log_mem,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",0.9173333333333334,64560.0,0.01202884727778534,2.149000143011411,3
CatBoost,Balance Scale,best_acc_at_medium_budget,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",0.9173333333333334,64560.0,0.01202884727778534,2.149000143011411,3
CatBoost,Banknote,best_acc,"{""depth"": 4, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",0.9975757575757576,172645.33333333334,0.16345069468176612,1.4223237380836948,3
CatBoost,Banknote,best_mem_at_iso_acc,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",0.9963636363636365,40288.0,0.023817763625023265,0.9296968522848506,3
CatBoost,Banknote,best_acc_per_log_mem,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",0.9963636363636365,40288.0,0.023817763625023265,0.9296968522848506,3
CatBoost,Banknote,best_acc_at_medium_budget,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.1}",0.9963636363636365,40288.0,0.023817763625023265,0.9296968522848506,3
CatBoost,Breast Cancer,best_acc,"{""depth"": 10, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.3}",0.9754385964912281,8262470.4,18.50646433320362,5.223829781211782,5
CatBoost,Breast Cancer,best_mem_at_iso_acc,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.3}",0.9754385964912281,40836.8,0.12126099180895836,2.618494500781883,5
CatBoost,Breast Cancer,best_acc_per_log_mem,"{""depth"": 4, ""iterations"": 100, ""l2_leaf_reg"": 3, ""learning_rate"": 0.3}",0.9754385964912281,40836.8,0.12126099180895836,2.618494500781883,5
