method,dataset,a,t,bleach,acc_mean,mem_mean,train_mean,infer_mean,n_seeds
Random,Breast Cancer,48,4,3,0.36842105263157887,6779.333333333333,0.0003899708273820579,1.5929082275112296,30
F4RM,Breast Cancer,48,4,4,0.36842105263157887,6781.666666666667,0.0003981111066726347,1.599780169495365,30
Random,Breast Cancer,48,4,4,0.36842105263157887,6779.333333333333,0.00037883068434894083,1.568969561070291,30
F4RM,Breast Cancer,64,4,1,0.37105263157894736,4546.833333333333,0.0003568792676863571,1.349013124467337,30
Random,Breast Cancer,64,4,1,0.36929824561403507,4546.5,0.0003376319034335514,1.3060676824432196,30
F4RM,Breast Cancer,64,4,2,0.36842105263157887,4546.833333333333,0.000352984721151491,1.2956994002935482,30
Random,Breast Cancer,64,4,2,0.36842105263157887,4546.5,0.0003409180596160392,1.3047039211994549,30
F4RM,Breast Cancer,64,4,3,0.36842105263157887,4546.833333333333,0.0003777306138848265,1.3968934868707465,30
Random,Breast Cancer,64,4,3,0.36842105263157887,4546.5,0.0003416290235084792,1.3298240329590978,30
F4RM,Breast Cancer,64,4,4,0.36842105263157887,4546.833333333333,0.0003689722623676062,1.3533614069354118,30
Random,Breast Cancer,64,4,4,0.36842105263157887,4546.5,0.0003508513366493086,1.4087355461472655,30
F4RM,Breast Cancer,2,8,1,0.8652046783625731,4290.166666666667,0.0023220945110855,14.220686916708509,30
Random,Breast Cancer,2,8,1,0.8587719298245614,4268.666666666667,0.002311970863956958,14.121734880303084,30
F4RM,Breast Cancer,2,8,2,0.9146198830409357,4290.166666666667,0.0023443835011372964,14.230262927917972,30
Random,Breast Cancer,2,8,2,0.9105263157894737,4268.666666666667,0.0023403597646392883,14.251607745254072,30
F4RM,Breast Cancer,2,8,3,0.9330409356725148,4290.166666666667,0.002343880641274154,14.17258737352813,30
Random,Breast Cancer,2,8,3,0.9345029239766082,4268.666666666667,0.0023181459090361994,14.267531931618155,30
F4RM,Breast Cancer,2,8,4,0.9426900584795322,4290.166666666667,0.0023301541650046905,14.138864611999855,30
Random,Breast Cancer,2,8,4,0.9403508771929824,4268.666666666667,0.0023035014901931087,14.166995932004957,30
F4RM,Breast Cancer,4,8,1,0.943859649122807,5984.166666666667,0.0015111874983025095,8.503898259317667,30
Random,Breast Cancer,4,8,1,0.9385964912280701,5885.833333333333,0.0015020457600864272,8.684989781124376,30
F4RM,Breast Cancer,4,8,2,0.9485380116959065,5984.166666666667,0.0015185819938778877,8.659222304864587,30
Random,Breast Cancer,4,8,2,0.9497076023391811,5885.833333333333,0.001489558385219425,8.653533339979704,30
F4RM,Breast Cancer,4,8,3,0.9491228070175438,5984.166666666667,0.0015074819287595649,8.619262098895701,30
Random,Breast Cancer,4,8,3,0.9508771929824561,5885.833333333333,0.0014944874177065988,8.679628413039866,30
F4RM,Breast Cancer,4,8,4,0.9505847953216373,5984.166666666667,0.0015619861815745631,8.722294356172892,30
Random,Breast Cancer,4,8,4,0.9491228070175439,5885.833333333333,0.0014959652597705522,8.510379733419732,30
F4RM,Breast Cancer,8,8,1,0.9546783625730991,11831.0,0.001076538977213204,5.556543034975205,30
Random,Breast Cancer,8,8,1,0.9593567251461987,11399.666666666666,0.001043008368772765,5.565411261451698,30
F4RM,Breast Cancer,8,8,2,0.9514619883040935,11831.0,0.001126079075038433,5.932809030691607,30
Random,Breast Cancer,8,8,2,0.9558479532163742,11399.666666666666,0.0010421070309045413,5.5678967626122695,30
F4RM,Breast Cancer,8,8,3,0.9520467836257309,11831.0,0.0010703291394747795,5.558430903444164,30
Random,Breast Cancer,8,8,3,0.9546783625730995,11399.666666666666,0.0010410234642525514,5.583077116341096,30
F4RM,Breast Cancer,8,8,4,0.95,11831.0,0.0010610805009491741,5.622952223390516,30
Random,Breast Cancer,8,8,4,0.9517543859649124,11399.666666666666,0.0010526931068549554,5.591861571441269,30
F4RM,Breast Cancer,12,8,1,0.9608187134502923,17152.666666666668,0.0009051958215422929,4.536768677508273,30
Random,Breast Cancer,12,8,1,0.9596491228070174,16447.666666666668,0.0008761721740787228,4.531872596275823,30
F4RM,Breast Cancer,12,8,2,0.9502923976608186,17152.666666666668,0.0009019222731391588,4.504130552767922,30
Random,Breast Cancer,12,8,2,0.9526315789473683,16447.666666666668,0.0008801250097652276,4.509746128344658,30
F4RM,Breast Cancer,12,8,3,0.9470760233918125,17152.666666666668,0.0009082833964688083,4.535891920360819,30
Random,Breast Cancer,12,8,3,0.9508771929824562,16447.666666666668,0.0008776834040569762,4.538499589530175,30
F4RM,Breast Cancer,12,8,4,0.943859649122807,17152.666666666668,0.0009070042326735953,4.503971622025932,30
Random,Breast Cancer,12,8,4,0.9426900584795322,16447.666666666668,0.0008848096632088225,4.589765493305977,30
F4RM,Breast Cancer,16,8,1,0.9520467836257308,19843.5,0.0007884111410627763,3.9510108252758513,30
