dataset,n_features,n_samples,a,t,bleach,random_mean,random_std,f4rm_mean,f4rm_std,paired_delta_mean,paired_delta_ci_half,wilcoxon_p,n_paired,significance
Vehicle,18,846,9,8,1,0.6723529411764707,0.031086758509401537,0.6849411764705883,0.03365879294044086,0.012588235294117648,0.009223588235106547,0.008057336315935495,50,n.s.
Vehicle,18,846,9,8,2,0.6902352941176472,0.03320359375902298,0.6878823529411765,0.030930991253106086,-0.0023529411764705997,0.00886968321175095,0.6720958054973647,50,n.s.
Vehicle,18,846,9,8,3,0.6855294117647058,0.0360505181092086,0.6897647058823531,0.025148664677775767,0.004235294117647066,0.011083323049834361,0.5211277146483893,50,n.s.
Vehicle,18,846,9,8,4,0.6822352941176472,0.03222971183953583,0.686470588235294,0.0334924292157641,0.004235294117647057,0.011112655960271136,0.4312596100810523,50,n.s.
Banknote,4,1372,8,8,1,0.9286545454545455,0.03420604675604901,0.9436363636363637,0.02540944852238047,0.014981818181818186,0.012248079783385038,0.021288404883701432,50,n.s.
Banknote,4,1372,8,8,2,0.9506181818181818,0.027311932241656053,0.9668363636363637,0.017656836423639004,0.01621818181818182,0.009211501656997056,0.002233987972541338,50,+++
Banknote,4,1372,8,8,3,0.9531636363636363,0.024406077176333005,0.969309090909091,0.015742231242526238,0.016145454545454546,0.00851667553190225,0.0011537915488314596,50,+++
Banknote,4,1372,8,8,4,0.9568727272727273,0.020025418153890112,0.971709090909091,0.01553741831363648,0.014836363636363623,0.007242243604695447,0.0008072347832827999,50,+++
Yeast,8,1484,10,8,1,0.44882154882154884,0.026575004514788392,0.47070707070707074,0.024974997567575125,0.021885521885521887,0.009140892644065405,6.13558587665926e-05,50,+++
Yeast,8,1484,10,8,2,0.47919191919191917,0.028182195410426818,0.501077441077441,0.027401749285236827,0.021885521885521893,0.010817129119941567,0.0002933979730754275,50,+++
Yeast,8,1484,10,8,3,0.49084175084175075,0.026215982414069115,0.5104377104377105,0.03064845083612119,0.01959595959595959,0.008931265582386843,0.00028299115598260635,50,+++
Yeast,8,1484,10,8,4,0.49508417508417507,0.02955676528857438,0.5072053872053872,0.034173112388573165,0.012121212121212114,0.010691091988292939,0.03407746720340064,50,n.s.
Steel Plates,33,1941,10,8,1,0.845038560411311,0.025707150725758014,0.8676606683804627,0.026907789926322166,0.02262210796915168,0.010616905581280905,0.00031740688199388743,50,+++
Steel Plates,33,1941,10,8,2,0.8735218508997429,0.02671543662059965,0.8918251928020565,0.028488324232748496,0.018303341902313613,0.010253105985703483,0.003717291581496705,50,n.s.
Steel Plates,33,1941,10,8,3,0.8806169665809768,0.02518841190070882,0.9007197943444731,0.02510114602564105,0.020102827763496145,0.008925089967036776,0.00016902551540219187,50,+++
Steel Plates,33,1941,10,8,4,0.8809768637532133,0.021219153227946708,0.9012339331619537,0.02787214457910368,0.02025706940874037,0.0086359004457102,0.000126979836861897,50,+++
Segment,19,2310,11,8,1,0.9324675324675324,0.013584343003394431,0.9356277056277055,0.012006209839425235,0.003160173160173172,0.004213250339176311,0.10817065255499016,50,n.s.
Segment,19,2310,11,8,2,0.9392207792207793,0.011410311842082485,0.9387878787878787,0.011928150891072782,-0.0004329004329004382,0.00358550289884825,0.9653219110101878,50,n.s.
Segment,19,2310,11,8,3,0.9358008658008657,0.012404169587084901,0.935930735930736,0.011855466612665925,0.00012987012987013545,0.0030506227818608567,0.9414346231143331,50,n.s.
Segment,19,2310,11,8,4,0.931125541125541,0.01117193658027555,0.9335064935064934,0.013717701820070875,0.0023809523809523903,0.0036810387003782348,0.12352294201823807,50,n.s.
Waveform,40,5000,12,8,1,0.77148,0.013552979941921364,0.7775799999999999,0.013206507363216597,0.006100000000000006,0.004831034671786163,0.02368915969280486,50,n.s.
Waveform,40,5000,12,8,2,0.79456,0.011006788257938918,0.7953999999999999,0.012732731402946963,0.0008399999999999985,0.004199387688699389,0.7994541382903307,50,n.s.
Waveform,40,5000,12,8,3,0.8002199999999999,0.012760413914340933,0.79846,0.012873339005202057,-0.0017600000000000016,0.004118403108001931,0.4749237652755709,50,n.s.
Waveform,40,5000,12,8,4,0.7981799999999999,0.010013643753623826,0.7980000000000002,0.01239980250007297,-0.00018000000000000237,0.0038524947553500908,0.9873306427972637,50,n.s.
SatImage,36,6430,12,8,1,0.8289424572317262,0.015703306892090013,0.8359875583203733,0.014823974622774183,0.007045101088646965,0.0047950735675434,0.007336363529859686,50,n.s.
SatImage,36,6430,12,8,2,0.855303265940902,0.011292458306974533,0.8589580093312599,0.01043608337809983,0.0036547433903577086,0.0034801985033042033,0.04292003657822248,50,n.s.
