dataset,n_features,n_samples,a,t,K,random_mean,f4rm_mean,paired_delta_mean,paired_delta_ci_half,wilcoxon_p,n_paired,significance
Pima Diabetes,8,768,9,8,25,0.7426406926406927,0.7402597402597403,-0.0023809523809523764,0.007535323653411765,0.6043291085024471,30,n.s.
Pima Diabetes,8,768,9,8,50,0.7445887445887445,0.7487012987012989,0.004112554112554123,0.007535323653411768,0.3413874022599229,30,n.s.
Pima Diabetes,8,768,9,8,100,0.7467532467532467,0.7469696969696968,0.00021645021645021097,0.008198025667056607,0.8371948309873231,30,n.s.
Vehicle,18,846,9,8,1,0.6672549019607845,0.670980392156863,0.003725490196078422,0.015334235554627764,0.5300373598235741,30,n.s.
Vehicle,18,846,9,8,5,0.7170588235294119,0.7168627450980393,-0.00019607843137255202,0.011575481541842337,0.8205807429824382,30,n.s.
Vehicle,18,846,9,8,10,0.7141176470588237,0.7196078431372551,0.0054901960784313674,0.008860796186060001,0.34821435623816577,30,n.s.
Vehicle,18,846,9,8,25,0.7225490196078431,0.7280392156862745,0.005490196078431375,0.006252509774622588,0.111778297156484,30,n.s.
Vehicle,18,846,9,8,50,0.7225490196078431,0.7260784313725491,0.003529411764705888,0.007304401570643154,0.34136989554321506,30,n.s.
Vehicle,18,846,9,8,100,0.728627450980392,0.7292156862745096,0.0005882352941176598,0.005592505823481451,0.5458796877182621,30,n.s.
Banknote,4,1372,8,8,1,0.9249696969696969,0.9547878787878789,0.02981818181818182,0.0182924289697611,0.005085040049637291,30,n.s.
Banknote,4,1372,8,8,5,0.9935757575757573,0.9953939393939394,0.0018181818181818115,0.001800156416369691,0.08466353185778158,30,n.s.
Banknote,4,1372,8,8,10,0.9955151515151515,0.9966060606060606,0.0010909090909090905,0.0014558514513080846,0.15295273384413888,30,n.s.
Banknote,4,1372,8,8,25,0.9963636363636363,0.9973333333333333,0.0009696969696969723,0.0012289493507709702,0.09946103221448399,30,n.s.
Banknote,4,1372,8,8,50,0.9966060606060606,0.997090909090909,0.000484848484848488,0.0010098776653114567,0.29680108335225874,30,n.s.
Banknote,4,1372,8,8,100,0.9966060606060605,0.9972121212121211,0.00060606060606061,0.0007704652284496067,0.13166801602281422,30,n.s.
Yeast,8,1484,10,8,1,0.45679012345679015,0.469584736251403,0.012794612794612784,0.010453144845120173,0.03315248689821866,30,n.s.
Yeast,8,1484,10,8,5,0.5338945005611673,0.5521885521885521,0.018294051627384962,0.008812461316623013,0.0004962720571779806,30,+++
Yeast,8,1484,10,8,10,0.5626262626262627,0.5714927048260382,0.008866442199775552,0.009547529165553995,0.06591898278302329,30,n.s.
Yeast,8,1484,10,8,25,0.5767676767676768,0.5868686868686869,0.010101010101010095,0.006584138255601891,0.006408035360140375,30,n.s.
