dataset,system_a,system_b,iso_acc_levels_compared,iso_acc_wins_a,iso_acc_wins_b,iso_mem_levels_compared,iso_mem_wins_a,iso_mem_wins_b,feasible_acc_overlap_lo,feasible_acc_overlap_hi,feasible_mem_overlap_lo,feasible_mem_overlap_hi
Haberman,F4RMS,DT,0,0,0,49,0,49,0.7419354838709677,0.7419354838709676,1656.0,2717.0
Haberman,F4RMS,RF,0,0,0,0,0,0,0.7387096774193548,0.7258064516129032,35016.0,3324.0
Haberman,F4RMS,CatBoost,0,0,0,0,0,0,0.7548387096774194,0.7419354838709676,39131.2,3324.0
Haberman,F4RMS,XGBoost,0,0,0,0,0,0,0.7387096774193548,0.732258064516129,131495.8,3324.0
Haberman,F4RMS,LightGBM,101,101,0,0,0,0,0.7387096774193548,0.7387096774193548,90323.8,3324.0
Haberman,F4RMS,MLP,101,101,0,49,49,0,0.7387096774193548,0.7419354838709676,1656.0,3324.0
Haberman,F4RMS,FT-Transformer,101,101,0,0,0,0,0.7419354838709676,0.7419354838709676,69160.0,3324.0
Haberman,F4RMS,TabPFN,0,0,0,0,0,0,0.7387096774193548,0.7419354838709676,1656.0,0.0
Ionosphere,F4RM-WiSARD-dense,Random-WiSARD-dense,101,13,88,50,26,24,0.38591549295774646,0.9492957746478872,1276.0,165478.0
Ionosphere,F4RM-WiSARD-dense,Random-WiSARD-cuckoo,101,0,101,50,0,50,0.38591549295774646,0.9492957746478872,1276.0,34837.2
Ionosphere,F4RM-WiSARD-dense,DT,101,0,101,49,0,49,0.8676056338028169,0.9014084507042254,1528.4,1817.0
Ionosphere,F4RM-WiSARD-dense,RF,101,101,0,49,49,0,0.904225352112676,0.9380281690140844,19548.0,158972.0
