dataset,system_a,system_b,iso_acc_levels_compared,iso_acc_wins_a,iso_acc_wins_b,iso_mem_levels_compared,iso_mem_wins_a,iso_mem_wins_b,feasible_acc_overlap_lo,feasible_acc_overlap_hi,feasible_mem_overlap_lo,feasible_mem_overlap_hi
Ecoli,F4RM-WiSARD-cuckoo,LightGBM,101,101,0,0,0,0,0.8235294117647058,0.8529411764705882,448657.2,12086.8
Ecoli,F4RM-WiSARD-cuckoo,MLP,101,101,0,50,50,0,0.7588235294117647,0.8029411764705883,2080.0,12086.8
Ecoli,F4RM-WiSARD-cuckoo,FT-Transformer,0,0,0,0,0,0,0.7588235294117647,0.573529411764706,70976.0,12086.8
Ecoli,F4RM-WiSARD-cuckoo,TabPFN,0,0,0,0,0,0,0.7588235294117647,0.8705882352941176,111.6,0.0
Ecoli,F4RMS,Random-WiSARD-dense,101,0,101,49,0,49,0.8235294117647058,0.8705882352941178,4929.0,6697.0
Ecoli,F4RMS,Random-WiSARD-cuckoo,101,0,101,0,0,0,0.8235294117647058,0.8705882352941178,4929.0,1409.4
Ecoli,F4RMS,DT,101,0,101,0,0,0,0.8235294117647058,0.8352941176470589,4929.0,3377.8
Ecoli,F4RMS,RF,101,101,0,50,50,0,0.8352941176470589,0.876470588235294,44010.2,359190.0
Ecoli,F4RMS,CatBoost,101,0,101,50,0,50,0.8705882352941178,0.876470588235294,128564.8,359190.0
Ecoli,F4RMS,XGBoost,101,101,0,0,0,0,0.8470588235294118,0.8617647058823529,525955.8,359190.0
Ecoli,F4RMS,LightGBM,101,101,0,0,0,0,0.8235294117647058,0.8529411764705882,448657.2,359190.0
Ecoli,F4RMS,MLP,0,0,0,49,49,0,0.8235294117647058,0.8029411764705883,4929.0,359190.0
Ecoli,F4RMS,FT-Transformer,0,0,0,50,50,0,0.8235294117647058,0.573529411764706,70976.0,359190.0
Ecoli,F4RMS,TabPFN,0,0,0,0,0,0,0.8235294117647058,0.876470588235294,4929.0,0.0
Glass,F4RM-WiSARD-dense,Random-WiSARD-dense,101,38,63,50,22,23,0.5813953488372092,0.7534883720930232,835.0,33256.0
Glass,F4RM-WiSARD-dense,Random-WiSARD-cuckoo,101,0,101,50,0,50,0.5813953488372092,0.7534883720930232,835.0,7522.4
Glass,F4RM-WiSARD-dense,DT,101,101,0,50,50,0,0.5813953488372092,0.7162790697674418,1970.0,6684.0
Glass,F4RM-WiSARD-dense,RF,101,101,0,0,0,0,0.7488372093023256,0.7534883720930232,36196.0,33256.0
Glass,F4RM-WiSARD-dense,CatBoost,0,0,0,0,0,0,0.7751937984496123,0.7534883720930232,104328.0,33256.0
Glass,F4RM-WiSARD-dense,XGBoost,0,0,0,0,0,0,0.7581395348837209,0.7534883720930232,404410.6,33256.0
Glass,F4RM-WiSARD-dense,LightGBM,101,101,0,0,0,0,0.7023255813953487,0.7534883720930232,335489.0,33256.0
Glass,F4RM-WiSARD-dense,MLP,0,0,0,49,49,0,0.5813953488372092,0.46976744186046504,2072.0,33256.0
Glass,F4RM-WiSARD-dense,FT-Transformer,0,0,0,0,0,0,0.5813953488372092,0.3953488372093023,71224.0,33256.0
Glass,F4RM-WiSARD-dense,TabPFN,0,0,0,0,0,0,0.5813953488372092,0.7534883720930232,835.0,0.0
Glass,F4RM-WiSARD-cuckoo,Random-WiSARD-dense,101,101,0,50,50,0,0.5813953488372092,0.7534883720930232,829.0,7000.8
Glass,F4RM-WiSARD-cuckoo,Random-WiSARD-cuckoo,101,38,63,50,10,33,0.5813953488372092,0.7534883720930232,175.2,7000.8
Glass,F4RM-WiSARD-cuckoo,DT,101,101,0,50,50,0,0.5813953488372092,0.7162790697674418,1970.0,6684.0
Glass,F4RM-WiSARD-cuckoo,RF,101,101,0,0,0,0,0.7488372093023256,0.7534883720930232,36196.0,7000.8
Glass,F4RM-WiSARD-cuckoo,CatBoost,0,0,0,0,0,0,0.7751937984496123,0.7534883720930232,104328.0,7000.8
Glass,F4RM-WiSARD-cuckoo,XGBoost,0,0,0,0,0,0,0.7581395348837209,0.7534883720930232,404410.6,7000.8
Glass,F4RM-WiSARD-cuckoo,LightGBM,101,101,0,0,0,0,0.7023255813953487,0.7534883720930232,335489.0,7000.8
Glass,F4RM-WiSARD-cuckoo,MLP,0,0,0,49,49,0,0.5813953488372092,0.46976744186046504,2072.0,7000.8
Glass,F4RM-WiSARD-cuckoo,FT-Transformer,0,0,0,0,0,0,0.5813953488372092,0.3953488372093023,71224.0,7000.8
