dataset,n_features,n_samples,a,t,thermometer,random_mean,f4rm_mean,paired_delta_mean,paired_delta_ci_half,wilcoxon_p,n_paired,significance
SatImage,36,6430,12,8,distributive,0.8289424572317262,0.8359875583203733,0.007045101088646965,0.0047950735675434,0.007336363529859686,50,n.s.
SatImage,36,6430,12,8,gaussian,0.8332970451010887,0.8422861586314153,0.008989113530326595,0.005386355886155769,0.0022186594117047822,50,+++
SatImage,36,6430,12,8,exponential,0.6681493001555211,0.6639502332814929,-0.00419906687402799,0.01520680443317444,0.6993912157632565,50,n.s.
Pendigits,16,10992,13,8,linear,0.9399727148703957,0.9517689859026832,0.01179627103228741,0.0035918435710346765,9.580426032440565e-07,50,+++
Pendigits,16,10992,13,8,distributive,0.9591905411550705,0.9679399727148703,0.00874943155979991,0.0020537064793266055,6.428047589275488e-08,50,+++
Pendigits,16,10992,13,8,gaussian,0.962055479763529,0.9717962710322874,0.009740791268758526,0.0017929831146036414,1.6986673191465013e-09,50,+++
Pendigits,16,10992,13,8,exponential,0.9152432924056388,0.9294861300591178,0.014242837653478852,0.005042898985513146,6.682157537229839e-06,50,+++
EEG Eye State,14,14980,13,8,linear,0.5511281708945259,0.5512283044058743,0.00010013351134846582,0.00022371419072123302,0.34523107177184,50,n.s.
EEG Eye State,14,14980,13,8,distributive,0.6978237650200266,0.7350734312416556,0.03724966622162884,0.003993137619449706,7.548390027588037e-10,50,+++
EEG Eye State,14,14980,13,8,gaussian,0.5847196261682243,0.5908144192256342,0.006094793057409893,0.0026778471908941548,0.0002987793811543217,50,+++
EEG Eye State,14,14980,13,8,exponential,0.5529305740987983,0.553384512683578,0.00045393858477970727,0.0005266120868169077,0.26296608850992964,50,n.s.
Magic Gamma,10,19020,14,8,linear,0.7228548895899054,0.7287381703470033,0.005883280757097807,0.0021151603018959592,1.4926320430600596e-05,50,+++
Magic Gamma,10,19020,14,8,distributive,0.7664143007360674,0.7837749737118823,0.017360672975814936,0.003771336460834496,8.995276627437873e-09,50,+++
Magic Gamma,10,19020,14,8,gaussian,0.7715352260778129,0.7829284963196637,0.011393270241850691,0.00250918464636498,4.629121831814005e-09,50,+++
Magic Gamma,10,19020,14,8,exponential,0.7287802313354365,0.7343480546792849,0.005567823343848581,0.0036023314025563948,0.003287327681499422,50,n.s.
Letter Recognition,16,20000,14,8,linear,0.56486,0.599685,0.034825000000000016,0.006620079531244317,1.4163500695105193e-08,50,+++
Letter Recognition,16,20000,14,8,distributive,0.8533399999999999,0.8740850000000002,0.020744999999999996,0.002476397391373201,1.2532826627526425e-09,50,+++
Letter Recognition,16,20000,14,8,gaussian,0.8587899999999999,0.8795050000000001,0.020715000000000004,0.0029556586338750283,1.1195494242218472e-09,50,+++
Letter Recognition,16,20000,14,8,exponential,0.57571,0.6086,0.03289,0.007447449453336356,4.534862583653979e-08,50,+++
